,resale_price
0,680000.0
1,665000.0
2,838000.0
3,550000.0
4,298000.0
5,335000.0
6,433000.0
7,340000.0
8,700000.0
9,490000.0
10,625000.0
11,270000.0
12,500000.0
13,770000.0
14,345000.0
15,288888.0
16,400000.0
17,800000.0
18,806000.0
19,455000.0
20,322000.0
21,420000.0
22,430000.0
23,605000.0
24,648000.0
25,472000.0
26,453000.0
27,360000.0
28,260000.0
29,358000.0
30,383000.0
31,503000.0
32,708000.0
33,496000.0
34,820000.0
35,260000.0
36,350000.0
37,385000.0
38,350000.0
39,340000.0
40,268000.0
41,708000.0
42,395000.0
43,380000.0
44,486500.0
45,515000.0
46,510000.0
47,466000.0
48,463000.0
49,630000.0
50,478000.0
51,495000.0
52,280000.0
53,338000.0
54,485000.0
55,425000.0
56,364000.0
57,500000.0
58,295000.0
59,316000.0
60,440000.0
61,380000.0
62,370000.0
63,525000.0
64,520030.0
65,380000.0
66,280000.0
67,183888.0
68,728888.0
69,418000.0
70,630000.0
71,270000.0
72,370000.0
73,310000.0
74,457000.0
75,455000.0
76,485000.0
77,560000.0
78,238000.0
79,408000.0
80,375000.0
81,550000.0
82,608000.0
83,446000.0
84,656888.0
85,580000.0
86,638000.0
87,698000.0
88,495000.0
89,410000.0
90,415000.0
91,390000.0
92,465000.0
93,415000.0
94,245000.0
95,389000.0
96,740000.0
97,708000.0
98,180000.0
99,310000.0
100,480000.0
101,383888.0
102,415000.0
103,348000.0
104,395000.0
105,301688.0
106,462000.0
107,638000.0
108,320000.0
109,510000.0
110,410000.0
111,363800.0
112,362000.0
113,443000.0
114,272000.0
115,353000.0
116,890000.0
117,495000.0
118,418000.0
119,460000.0
120,273000.0
121,257000.0
122,490000.0
123,420000.0
124,620000.0
125,270000.0
126,335000.0
127,482500.0
128,440000.0
129,443000.0
130,510000.0
131,252500.0
132,330000.0
133,415000.0
134,260000.0
135,291000.0
136,376000.0
137,360000.0
138,628000.0
139,658000.0
140,480000.0
141,385000.0
142,320000.0
143,588000.0
144,260000.0
145,310000.0
146,440000.0
147,390000.0
148,550000.0
149,550000.0
150,378000.0
151,295000.0
152,575000.0
153,370000.0
154,300000.0
155,608000.0
156,330000.0
157,322000.0
158,488000.0
159,290000.0
160,450000.0
161,756000.0
162,495000.0
163,418000.0
164,452000.0
165,395000.0
166,433000.0
167,820000.0
168,570000.0
169,220000.0
170,759000.0
171,470000.0
172,658000.0
173,368000.0
174,845000.0
175,205500.0
176,420000.0
177,488000.0
178,260000.0
179,315000.0
180,385000.0
181,600000.0
182,440000.0
183,540000.0
184,630000.0
185,340000.0
186,617000.0
187,393000.0
188,420000.0
189,500000.0
190,448000.0
191,277000.0
192,380000.0
193,408000.0
194,450000.0
195,455000.0
196,465000.0
197,578000.0
198,372888.0
199,398000.0
200,360000.0
201,460000.0
202,350000.0
203,690000.0
204,780000.0
205,320000.0
206,378000.0
207,335000.0
208,580000.0
209,400000.0
210,310000.0
211,650000.0
212,620000.0
213,403000.0
214,658000.0
215,552000.0
216,505000.0
217,335000.0
218,350000.0
219,372000.0
220,370000.0
221,610000.0
222,453000.0
223,470000.0
224,468000.0
225,908000.0
226,365000.0
227,600000.0
228,263000.0
229,308000.0
230,326000.0
231,490000.0
232,825000.0
233,480000.0
234,999000.0
235,417000.0
236,600000.0
237,340000.0
238,480000.0
239,445000.0
240,275000.0
241,330000.0
242,515000.0
243,475000.0
244,510000.0
245,392000.0
246,312000.0
247,387000.0
248,260000.0
249,322000.0
250,330000.0
251,480000.0
252,425000.0
253,495000.0
254,265000.0
255,450000.0
256,370000.0
257,620000.0
258,280000.0
259,392000.0
260,455000.0
261,430000.0
262,380000.0
263,418000.0
264,390000.0
265,408000.0
266,482000.0
267,469888.0
268,562000.0
269,798000.0
270,344000.0
271,290000.0
272,520000.0
273,398000.0
274,421000.0
275,390000.0
276,295000.0
277,438888.0
278,285000.0
279,505000.0
280,480000.0
281,332000.0
282,735000.0
283,580000.0
284,468000.0
285,380000.0
286,342000.0
287,445000.0
288,499999.0
289,450000.0
290,418000.0
291,295000.0
292,385000.0
293,510000.0
294,488000.0
295,400000.0
296,580000.0
297,465000.0
298,540000.0
299,430000.0
300,338000.0
301,385000.0
302,725000.0
303,410000.0
304,413000.0
305,460000.0
306,640000.0
307,435000.0
308,345000.0
309,810000.0
310,480000.0
311,650000.0
312,320000.0
313,495000.0
314,545000.0
315,470000.0
316,515000.0
317,497000.0
318,325000.0
319,380000.0
320,345000.0
321,495000.0
322,642000.0
323,350000.0
324,333000.0
325,433000.0
326,235000.0
327,397000.0
328,265000.0
329,362000.0
330,310000.0
331,350000.0
332,575100.0
333,385000.0
334,430000.0
335,420000.0
336,312000.0
337,415800.0
338,545000.0
339,483000.0
340,403000.0
341,330000.0
342,325000.0
343,605000.0
344,432000.0
345,520000.0
346,425000.0
347,443000.0
348,353000.0
349,380000.0
350,285000.0
351,525000.0
352,290000.0
353,535000.0
354,325000.0
355,350000.0
356,302000.0
357,590000.0
358,795000.0
359,430300.0
360,358000.0
361,525000.0
362,370000.0
363,528000.0
364,305000.0
365,409000.0
366,350000.0
367,365000.0
368,564000.0
369,298000.0
370,428000.0
371,1060000.0
372,475000.0
373,733000.0
374,350000.0
375,380000.0
376,390000.0
377,268000.0
378,680000.0
379,270000.0
380,255000.0
381,427000.0
382,510000.0
383,660000.0
384,580000.0
385,320000.0
386,340000.0
